id,reporter_id,target_id,subscription_id,type,status,created_at,resolved_at,resolution,self_complaint,subscription_missing
1,904,1565,389,billing_issue,open,2023-09-06 08:02:33+00:00,,,0,0
2,1702,600,260,subscription_inactive,escalated,2024-07-30 12:44:00+00:00,,,0,0
3,1361,672,124,access_denied,resolved,2022-10-01 21:19:13+00:00,2024-01-27 20:51:20+00:00,,0,0
4,19,1706,317,access_denied,resolved,2024-05-08 04:05:41+00:00,2024-06-03 03:41:59+00:00,refunded,0,0
5,327,609,289,access_denied,closed,2021-06-11 13:01:44+00:00,2021-10-31 06:56:01+00:00,refunded,0,0
6,840,223,344,access_denied,open,2024-09-15 02:28:54+00:00,,,0,0
7,1094,1932,207,access_denied,resolved,2023-02-09 22:32:02+00:00,2024-10-07 04:55:46+00:00,owner_warned,0,0
8,729,21,38,owner_unresponsive,open,2022-05-10 04:21:43+00:00,,,0,0
9,1929,1817,396,access_denied,closed,2023-07-07 13:17:22+00:00,2025-05-02 18:45:20+00:00,refunded,0,0
10,1480,266,163,owner_unresponsive,escalated,2025-04-24 17:49:55+00:00,,,0,0
11,1867,1651,93,access_denied,open,2023-08-28 16:04:13+00:00,,,0,0
12,199,1278,358,wrong_credentials,open,2021-07-29 04:10:18+00:00,,,0,0
13,756,1128,64,subscription_inactive,resolved,2024-04-21 20:22:56+00:00,2024-05-28 02:59:01+00:00,refunded,0,0
14,84,1279,11,fraud_suspicion,open,2022-09-07 22:01:13+00:00,,,0,0
15,144,96,366,access_denied,resolved,2021-12-19 19:33:10+00:00,2025-05-13 20:06:35+00:00,refunded,0,0
16,1045,1066,353,subscription_inactive,open,2024-07-19 16:03:50+00:00,,,0,0
17,636,636,287,fraud_suspicion,in_progress,2024-04-04 03:40:53+00:00,,,1,0
18,584,54,356,subscription_inactive,resolved,2024-12-31 13:08:23+00:00,2025-03-03 23:13:08+00:00,subscriber_replaced,0,0
19,716,429,114,access_denied,resolved,2025-05-06 06:23:38+00:00,2025-05-22 03:51:34+00:00,,0,0
20,1432,716,366,access_denied,open,2022-05-15 17:54:20+00:00,,,0,0
21,1825,141,97,other,open,2021-03-21 12:01:38+00:00,,,0,0
22,1032,772,278,billing_issue,resolved,2024-01-27 05:56:50+00:00,2024-11-13 13:44:37+00:00,,0,0
23,1248,688,136,wrong_credentials,resolved,2021-01-08 05:39:47+00:00,2023-08-04 16:16:32+00:00,account_banned,0,0
24,1632,1933,126,other,open,2024-12-21 01:05:28+00:00,,,0,0
25,86,1944,92,other,in_progress,2024-01-07 12:15:56+00:00,,,0,0
26,1969,705,179,owner_unresponsive,open,2022-06-11 08:29:48+00:00,,,0,0
27,245,1552,264,other,resolved,2022-09-10 15:13:36+00:00,2023-05-27 02:17:12+00:00,no_action,0,0
28,897,359,154,other,escalated,2021-07-09 01:41:28+00:00,,,0,0
29,529,737,148,fraud_suspicion,resolved,2022-06-11 02:52:07+00:00,2022-06-30 15:32:05+00:00,account_banned,0,0
30,126,780,220,access_denied,open,2023-07-12 04:26:27+00:00,,,0,0
31,483,1237,230,wrong_credentials,open,2025-01-26 20:16:02+00:00,,,0,0
32,1734,1728,193,other,escalated,2021-06-29 01:10:34+00:00,,,0,0
33,1562,1506,370,other,closed,2022-12-07 09:10:15+00:00,2023-08-20 22:56:40+00:00,refunded,0,0
34,1970,1210,233,other,escalated,2021-02-05 17:26:04+00:00,,,0,0
35,620,751,394,access_denied,resolved,2023-11-09 05:52:59+00:00,2024-05-01 22:10:25+00:00,account_banned,0,0
36,1672,647,376,access_denied,open,2024-04-06 19:16:42+00:00,,,0,0
37,1712,1291,86,other,open,2021-10-11 07:29:35+00:00,,,0,0
38,1258,50,199,access_denied,open,2022-01-24 17:06:10+00:00,,,0,0
39,628,774,263,access_denied,closed,2022-02-10 03:59:15+00:00,2024-03-31 01:24:30+00:00,,0,0
40,1917,720,350,access_denied,in_progress,2021-03-14 02:09:02+00:00,,,0,0
41,750,523,399,other,resolved,2021-09-02 19:10:18+00:00,2024-07-09 00:18:46+00:00,owner_warned,0,0
42,126,260,220,other,in_progress,2021-11-22 03:46:55+00:00,,,0,0
43,1171,1957,307,billing_issue,resolved,2022-04-06 22:10:26+00:00,2025-05-01 06:42:17+00:00,no_action,0,0
44,1758,1539,180,billing_issue,in_progress,2025-04-11 05:06:53+00:00,,,0,0
45,1077,1007,14,wrong_credentials,in_progress,2021-09-23 19:31:50+00:00,,,0,0
46,228,1425,323,access_denied,escalated,2021-02-07 06:41:12+00:00,,,0,0
47,1073,1295,394,access_denied,resolved,2021-04-22 14:38:20+00:00,2021-07-06 23:28:38+00:00,,0,0
48,1039,1265,41,owner_unresponsive,open,2022-08-12 22:36:55+00:00,,,0,0
49,1218,1823,119,access_denied,open,2024-04-07 15:55:12+00:00,,,0,0
50,1224,1831,84,billing_issue,resolved,2021-01-21 05:38:01+00:00,2023-09-02 06:19:16+00:00,,0,0
51,13,637,377,subscription_inactive,open,2024-05-15 14:41:56+00:00,,,0,0
52,1171,1379,351,owner_unresponsive,open,2022-08-27 20:45:49+00:00,,,0,0
