id,user_id,subscription_id,amount_cents,fee_cents,status,created_at,captured_at,currency,stripe_error_code,user_missing,is_failed
1,1485,231,1322,78,succeeded,2024-12-04 19:23:01+00:00,2024-12-07 14:23:01+00:00,EUR,,0,False
2,1485,231,366,37,succeeded,2025-01-03 20:23:01+00:00,2025-01-05 11:23:01+00:00,EUR,,0,False
3,1485,231,238,28,succeeded,,2025-02-10 04:23:01+00:00,EUR,,0,False
4,1485,231,212,23,succeeded,,2025-03-06 20:23:01+00:00,EUR,,0,False
5,1485,231,1325,144,succeeded,,2025-04-04 23:23:01+00:00,EUR,,0,False
6,1485,231,1448,90,succeeded,,2025-05-05 09:23:01+00:00,EUR,,0,False
7,690,399,928,77,failed,,,EUR,incorrect_cvc,0,True
8,690,399,695,62,failed,2024-10-21 00:25:46+00:00,,EUR,incorrect_cvc,0,True
9,690,399,1094,114,failed,,,EUR,card_declined,0,True
10,690,399,387,52,failed,,,EUR,insufficient_funds,0,True
11,690,399,673,34,refunded,,,EUR,,0,False
12,690,399,314,43,succeeded,,2025-02-21 03:25:46+00:00,EUR,,0,False
13,690,399,742,67,succeeded,2025-03-20 01:25:46+00:00,2025-03-21 21:25:46+00:00,EUR,,0,False
14,690,399,340,46,succeeded,2025-04-23 01:25:46+00:00,2025-04-23 11:25:46+00:00,EUR,,0,False
15,690,399,782,69,succeeded,,2025-05-23 10:25:46+00:00,EUR,,0,False
16,56,31,1153,138,succeeded,,2025-02-20 16:19:15+00:00,EUR,,0,False
17,56,31,500,29,failed,,,EUR,do_not_honor,0,True
18,56,31,1474,98,succeeded,,2025-04-15 23:19:15+00:00,EUR,,0,False
19,56,31,1304,113,disputed,,,EUR,,0,False
20,590,168,689,36,pending,2024-08-08 14:33:32+00:00,,EUR,,0,False
21,590,168,1322,91,failed,2024-09-05 13:33:32+00:00,,EUR,fraudulent,0,True
22,590,168,727,88,pending,,,EUR,,0,False
23,590,168,954,92,failed,,,EUR,incorrect_cvc,0,True
24,590,168,225,21,succeeded,2024-12-04 14:33:32+00:00,2024-12-06 09:33:32+00:00,EUR,,0,False
25,590,168,1041,54,refunded,,,EUR,,0,False
26,590,168,240,29,failed,,,EUR,expired_card,0,True
27,590,168,1370,68,failed,,,EUR,expired_card,0,True
28,20,168,1272,122,succeeded,2024-05-20 09:34:05+00:00,2024-05-23 02:34:05+00:00,EUR,,0,False
29,20,168,405,24,failed,2024-06-18 08:34:05+00:00,,EUR,stolen_card,0,True
30,20,168,851,124,succeeded,,2024-07-19 01:34:05+00:00,EUR,,0,False
31,20,168,954,85,succeeded,2024-08-14 08:34:05+00:00,2024-08-16 21:34:05+00:00,EUR,,0,False
32,20,168,1069,103,succeeded,,2024-09-19 06:34:05+00:00,EUR,,0,False
33,20,168,1217,92,succeeded,,2024-10-19 23:34:05+00:00,EUR,,0,False
34,1282,335,642,66,failed,,,EUR,card_declined,0,True
35,1282,335,609,34,succeeded,2022-12-12 08:23:58+00:00,2022-12-13 18:23:58+00:00,EUR,,0,False
36,1282,335,1398,150,failed,,,EUR,card_declined,0,True
37,1282,335,1005,103,succeeded,,2023-02-07 23:23:58+00:00,EUR,,0,False
38,1282,335,766,97,failed,,,EUR,card_declined,0,True
39,1282,335,603,47,failed,2023-04-11 08:23:58+00:00,,EUR,insufficient_funds,0,True
40,1282,335,1142,115,succeeded,,2023-05-06 11:23:58+00:00,EUR,,0,False
41,1282,335,313,25,succeeded,,2023-06-10 01:23:58+00:00,EUR,,0,False
42,1282,335,633,50,failed,,,EUR,card_declined,0,True
43,1282,335,1403,89,succeeded,,2023-08-07 06:23:58+00:00,EUR,,0,False
44,1282,335,921,137,failed,,,EUR,stolen_card,0,True
45,407,324,209,27,refunded,,,EUR,,0,False
46,513,275,338,17,refunded,,,EUR,,0,False
47,513,275,202,12,succeeded,,2024-04-02 11:54:28+00:00,USD,,0,False
48,513,275,518,65,succeeded,,2024-05-03 09:54:28+00:00,EUR,,0,False
49,513,275,382,31,succeeded,,2024-06-07 02:54:28+00:00,EUR,,0,False
50,372,125,530,46,disputed,,,EUR,,0,False
51,372,125,899,108,disputed,2025-05-17 15:23:38+00:00,,EUR,,0,False
52,1990,244,804,58,succeeded,2022-07-11 00:04:36+00:00,2022-07-11 10:04:36+00:00,EUR,,0,False
53,1990,244,303,39,succeeded,2022-08-09 01:04:36+00:00,2022-08-11 22:04:36+00:00,EUR,,0,False
54,1990,244,352,26,succeeded,,2022-09-04 13:04:36+00:00,EUR,,0,False
55,710,20,285,40,succeeded,,2020-12-01 13:24:03+00:00,EUR,,0,False
56,710,20,1002,86,succeeded,,2021-01-04 22:24:03+00:00,EUR,,0,False
57,710,20,854,89,failed,,,EUR,do_not_honor,0,True
58,710,20,822,89,succeeded,,2021-03-02 19:24:03+00:00,EUR,,0,False
59,710,20,425,33,succeeded,,2021-04-04 08:24:03+00:00,EUR,,0,False
60,710,20,544,49,succeeded,2021-05-03 02:24:03+00:00,2021-05-03 20:24:03+00:00,EUR,,0,False
61,710,20,1236,141,failed,,,EUR,lost_card,0,True
62,710,20,1310,84,failed,,,EUR,fraudulent,0,True
63,710,20,1052,85,succeeded,,2021-08-01 20:24:03+00:00,EUR,,0,False
64,710,20,401,27,failed,,,EUR,incorrect_cvc,0,True
65,710,20,682,53,succeeded,,2021-09-27 06:24:03+00:00,EUR,,0,False
66,710,20,1004,98,succeeded,,2021-10-30 12:24:03+00:00,EUR,,0,False
67,710,20,525,38,succeeded,,2021-12-01 10:24:03+00:00,EUR,,0,False
